student_id,gender,age,province,college,major,total_courses,avg_score,weighted_avg_score,avg_gpa,weighted_gpa,fail_count,total_credits,library_visits,library_days,avg_visit_hour,total_online_duration,avg_online_duration,online_records,total_attendance,task_participation
pjxyqxbk505,男,22.0,13,通信工程学院,通信工程,108,93.25,0.0,3.609259259259259,0.0,0,147.5,1108.0,510.0,12.701263537906136,4557.92,651.1314285714286,7.0,0.0,0.0
pjxyqxbj332,女,23.0,14,通信工程学院,信息工程,113,88.46902654867256,0.0,3.420353982300885,0.0,3,146.5,0.0,0.0,0.0,2488.5699999999997,355.50999999999993,7.0,0.0,0.0
pjxxxxbj932,男,22.0,21,通信工程学院,通信工程,81,93.9753086419753,0.0,3.5629629629629633,0.0,0,174.1,0.0,0.0,0.0,1424.51,203.50142857142856,7.0,0.0,0.0
pjxrqxbj958,男,22.0,41,数学与统计学院,数学与应用数学,95,90.43157894736842,0.0,3.3378947368421055,0.0,2,156.0,0.0,0.0,0.0,4093.4,584.7714285714286,7.0,0.0,0.0
pjxyqwbj632,男,21.0,14,计算机科学与技术学院,软件工程,135,73.92592592592592,0.0,2.4496296296296296,0.0,24,238.2,0.0,0.0,0.0,1718.45,245.49285714285716,7.0,0.0,0.0
pjxyqwbj560,男,22.0,33,计算机科学与技术学院,计算机科学与技术,117,88.02564102564102,0.0,3.402564102564103,0.0,7,145.0,0.0,0.0,0.0,3104.27,443.46714285714285,7.0,0.0,0.0
pjxyqwbk862,男,23.0,61,计算机科学与技术学院,计算机科学与技术,131,78.76335877862596,0.0,2.498473282442748,0.0,23,203.6,0.0,0.0,0.0,6664.4,952.0571428571428,7.0,0.0,0.0
pjxyqxbl891,男,23.0,61,电子工程学院,电子信息工程,119,88.29411764705883,0.0,3.0050420168067227,0.0,9,181.6,0.0,0.0,0.0,3035.5,433.64285714285717,7.0,0.0,0.0
pjxuqwbj498,男,23.0,61,机电工程学院,电气工程及其自动化,125,85.76,0.0,3.0031999999999996,0.0,3,161.3,0.0,0.0,0.0,551.01,78.71571428571428,7.0,0.0,0.0
pjwtqxbj957,女,23.0,61,生命科学技术学院,智能医学工程,111,91.26126126126127,0.0,3.501801801801802,0.0,0,155.2,0.0,0.0,0.0,970.86,161.81,6.0,0.0,0.0
pjxyqwbj925,女,22.0,32,网络与信息安全学院,信息安全,116,88.51724137931035,0.0,3.313793103448276,0.0,3,155.2,0.0,0.0,0.0,5676.75,709.59375,8.0,0.0,0.0
pjxyqxbk945,男,23.0,34,通信工程学院,通信工程,111,87.63963963963964,0.0,3.278378378378378,0.0,1,154.2,0.0,0.0,0.0,3589.11,512.73,7.0,0.0,0.0
pjxxxxbj904,男,22.0,61,通信工程学院,通信工程,87,88.01149425287356,0.0,3.2045977011494253,0.0,3,174.1,0.0,0.0,0.0,1535.43,255.905,6.0,0.0,0.0
pjxuqwbj686,男,23.0,37,机电工程学院,自动化,115,86.75652173913043,0.0,3.276521739130435,0.0,2,155.7,0.0,0.0,0.0,2418.2,345.45714285714286,7.0,0.0,0.0
